"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128885-1,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Tout terrain"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145823_uploaded_image1_1737473366.jpg"""
"1765128885-2,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures de ville"",""15 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145826_uploaded_image1_1737473583.jpg"""
"1765128885-3,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""chaussure ouverte"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145127_uploaded_image1_1737450607.jpg"""
"1765128885-4,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""mocassin alden"",""18 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145122_uploaded_image1_1737450413.jpg"""
"1765128885-5,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""mocassin classique"",""15 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145116_uploaded_image1_1737450247.jpg"""
"1765128885-6,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Mocassin pierre cardin"",""10 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5144361_uploaded_image1_1737399759.jpg"""
"1765128885-7,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Jordan 11"",""10 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_5175476_uploaded_image1_1738955928.jpg"""
"1765128885-8,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Sandales Gucci"",""15 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5127678_uploaded_image1_1736452468.jpg"""
"1765128885-9,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Sandales Gucci"",""15 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5127684_uploaded_image1_1736452819.jpg"""
"1765128885-10,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Sandales Burbery"",""15 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5127688_uploaded_image1_1736452967.jpg"""
"1765128885-11,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Daim"",""15 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5171907_uploaded_image1_1738783067.jpg"""
"1765128885-12,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Berluti"",""22 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5171903_uploaded_image1_1738782841.jpg"""
"1765128885-13,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Berluti"",""22 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5171902_uploaded_image1_1738782763.jpg"""
"1765128885-14,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""22 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5171892_uploaded_image1_1738782485.jpg"""
"1765128885-15,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""25 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5171888_uploaded_image1_1738782369.jpg"""
"1765128885-16,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""20 000CFA"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5171845_uploaded_image1_1738780968.jpg"""
"1765128885-17,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures fermées"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5171780_uploaded_image1_1738777579.jpg"""
"1765128885-18,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures hommes"",""15 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5169941_uploaded_image1_1738689816.jpg"""
"1765128885-19,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Sneakers New Balance 9060"",""40 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5168368_uploaded_image1_1738628934.jpg"""
"1765128885-20,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures orthopédiques en cuir"",""Prix sur demande"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5166529_uploaded_image2_1738570827.jpeg"""
"1765128885-21,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165863_uploaded_image1_1738523413.jpg"""
"1765128885-22,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165861_uploaded_image1_1738523279.jpg"""
"1765128885-23,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165858_uploaded_image1_1738523003.jpg"""
"1765128885-24,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""13 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165856_uploaded_image1_1738522870.jpg"""
"1765128885-25,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures hommes"",""12 000CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165685_uploaded_image1_1738516030.jpg"""
"1765128885-26,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures hommes"",""15 000CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165588_uploaded_image1_1738510508.jpg"""
