"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765129534-1,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble pour bébé"",""9 500CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3024581_uploaded_image1_1616870758.jpg"""
"1765129534-2,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements pour enfant de 0 à 13ans"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3019124_uploaded_image1_1616606467.jpg"""
"1765129534-3,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble chemise - pantalon enfant"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3017358_uploaded_image1_1616523355.jpg"""
"1765129534-4,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Pantalon jeans enfants"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3017355_uploaded_image1_1616523288.jpg"""
"1765129534-5,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements enfant"",""3 000CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3013660_uploaded_image1_1616353788.jpg"""
"1765129534-6,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements bébé"",""3 500CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3013647_uploaded_image1_1616353124.jpg"""
"1765129534-7,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Pantalon jeans friperie enfants"",""6 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3012395_uploaded_image1_1616265641.jpg"""
"1765129534-8,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble chemise - pantalon jeans friperie"",""5 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3012391_uploaded_image1_1616265553.jpg"""
"1765129534-9,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Pantalon jeans friperie"",""3 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3012387_uploaded_image1_1616265415.jpg"""
"1765129534-10,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Grenouillère bébé"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3008320_uploaded_image1_1616068246.jpg"""
"1765129534-11,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Lot de vêtements friperie de 0 à 12ans"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3000888_uploaded_image1_1615698089.jpg"""
