"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128100-1,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble Short homme"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4963797_uploaded_image1_1727380057.jpg"""
"1765128100-2,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon Jogging"",""7 000CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4963767_uploaded_image1_1727377903.jpg"""
"1765128100-3,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon Jogging"",""7 000CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4963765_uploaded_image1_1727377824.jpg"""
"1765128100-4,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Lot de 4 t-shirts"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4961750_uploaded_image1_1727279379.jpg"""
"1765128100-5,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vêtements homme"",""30 000CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4960122_uploaded_image1_1727202601.jpg"""
"1765128100-6,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vêtements homme"",""30 000CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4960116_uploaded_image1_1727202422.jpg"""
"1765128100-7,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vêtements homme"",""Prix sur demande"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4954564_uploaded_image1_1726904707.jpg"""
"1765128100-8,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vêtements homme"",""18 500CFA"",""Hann Bel-Air, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4954449_uploaded_image1_1726886933.jpg"""
"1765128100-9,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble homme"",""45 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4953901_uploaded_image1_1726853607.jpg"""
"1765128100-10,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Djellaba"",""10 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4953671_uploaded_image1_1726842317.jpg"""
"1765128100-11,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vêtements homme"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4953322_uploaded_image1_1726828595.jpg"""
"1765128100-12,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Caleçons"",""13 000CFA"",""Ouest Foire, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4951039_uploaded_image1_1726716809.jpg"""
"1765128100-13,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Tunique homme"",""18 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4949115_uploaded_image1_1726606774.jpg"""
"1765128100-14,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4935741_uploaded_image1_1725901365.jpg"""
"1765128100-15,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4935746_uploaded_image1_1725901530.jpg"""
"1765128100-16,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4935734_uploaded_image1_1725901081.jpg"""
"1765128100-17,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4935732_uploaded_image1_1725901036.jpg"""
"1765128100-18,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon Kaki"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4935721_uploaded_image1_1725900754.jpg"""
"1765128100-19,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pour homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4935723_uploaded_image1_1725900821.jpg"""
"1765128100-20,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4935718_uploaded_image1_1725900693.jpg"""
"1765128100-21,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Polo Lacoste"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4935729_uploaded_image1_1725900923.jpg"""
"1765128100-22,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Polo Lacoste"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4935708_uploaded_image1_1725900452.jpg"""
"1765128100-23,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Chemise homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4909550_uploaded_image1_1724513302.jpg"""
"1765128100-24,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Getzner Super Manium gold"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942743_uploaded_image1_1726229198.jpg"""
"1765128100-25,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""5 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942741_uploaded_image1_1726229155.jpg"""
"1765128100-26,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942716_uploaded_image1_1726228729.jpg"""
"1765128100-27,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""160 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942704_uploaded_image1_1726228583.jpg"""
"1765128100-28,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942724_uploaded_image1_1726228813.jpg"""
"1765128100-29,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942710_uploaded_image1_1726228614.jpg"""
"1765128100-30,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Culotte"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942725_uploaded_image1_1726228846.jpg"""
"1765128100-31,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Chemise homme"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942713_uploaded_image1_1726228693.jpg"""
